step,role_update_step,leader_pre,leader_pre_followers,top_followers,current_leader,alt_leader_id,largest_alt_leader_followers,pu_share,tracked_targets,targets_following_preleader,targets_in_pu,targets_in_rep_elsewhere,mean_gamma_selected_rep,mean_rep_to_preleader,mean_estimated_reward_pu,mean_threshold,mean_step1_margin,min_step1_margin,share_positive_step1_margin,mean_positive_step1_margin,mean_highest_rep_is_preleader,num_role_updates_since_perturb_end
6277,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6278,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6279,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6280,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6281,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6282,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6283,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6284,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6285,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6286,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6287,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6288,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6289,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6290,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6291,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6292,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6293,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6294,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6295,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6296,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6297,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6298,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6299,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6300,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6301,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6302,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6303,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6304,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6305,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6306,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6307,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6308,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
