mode,gamma,seed,kappa,leader_id,leader_role_final,final_top_followers,tail_welfare,final_norm,final_norm_welfare_check,best_norm,best_norm_welfare,welfare_gap_to_best,is_final_norm_optimal
static,4.5,2,0.02,17,personal_utility,10,10.233929367337373,00100,10.593273801592721,00000,10.95816599851378,0.36489219692105834,0
static,4.5,2,0.05,17,personal_utility,10,10.233929367337373,00100,10.593273801592721,00000,10.95816599851378,0.36489219692105834,0
static,4.5,2,0.1,17,status,10,10.27264756106798,01010,10.43003618834382,00000,10.95816599851378,0.5281298101699594,0
static,5.0,0,0.0,20,personal_utility,7,10.167915026660689,01100,10.274427708110636,00000,11.143766826657787,0.8693391185471508,0
static,5.0,0,0.01,20,personal_utility,7,10.167915026660689,01100,10.274427708110636,00000,11.143766826657787,0.8693391185471508,0
static,5.0,0,0.02,20,personal_utility,7,10.167915026660689,01100,10.274427708110636,00000,11.143766826657787,0.8693391185471508,0
static,5.0,0,0.05,20,personal_utility,7,10.167915026660689,01100,10.274427708110636,00000,11.143766826657787,0.8693391185471508,0
static,5.0,0,0.1,20,personal_utility,7,10.167915026660689,01100,10.274427708110636,00000,11.143766826657787,0.8693391185471508,0
static,5.0,1,0.0,9,personal_utility,29,10.457193895788983,00000,11.41043305308772,00000,11.41043305308772,0.0,1
static,5.0,1,0.01,9,personal_utility,29,10.457193895788983,00000,11.41043305308772,00000,11.41043305308772,0.0,1
static,5.0,1,0.02,9,personal_utility,29,10.457193895788983,00000,11.41043305308772,00000,11.41043305308772,0.0,1
static,5.0,1,0.05,9,status,29,10.681653123702617,00000,11.41043305308772,00000,11.41043305308772,0.0,1
static,5.0,1,0.1,9,status,29,10.681653123702617,00000,11.41043305308772,00000,11.41043305308772,0.0,1
static,5.0,2,0.0,17,personal_utility,11,10.233929367337373,00100,10.593273801592721,00000,10.95816599851378,0.36489219692105834,0
static,5.0,2,0.01,17,personal_utility,11,10.233929367337373,00100,10.593273801592721,00000,10.95816599851378,0.36489219692105834,0
static,5.0,2,0.02,17,personal_utility,11,10.233929367337373,00100,10.593273801592721,00000,10.95816599851378,0.36489219692105834,0
static,5.0,2,0.05,17,personal_utility,11,10.233929367337373,00100,10.593273801592721,00000,10.95816599851378,0.36489219692105834,0
static,5.0,2,0.1,17,status,11,10.276142210919959,01010,10.43003618834382,00000,10.95816599851378,0.5281298101699594,0
