mode,gamma,kappa,n_runs,reach_rate,n_reached,mean_final_top_followers,std_final_top_followers,ci95_final_top_followers,mean_time_to_90pct_followers,std_time_to_90pct_followers,ci95_time_to_90pct_followers,mean_leader_switches,std_leader_switches,ci95_leader_switches,mean_tail_welfare,std_tail_welfare,ci95_tail_welfare,mean_leader_is_status_final,std_leader_is_status_final,ci95_leader_is_status_final,mean_final_status_count,std_final_status_count,ci95_final_status_count,mean_tail_status_leader_share,std_tail_status_leader_share,ci95_tail_status_leader_share,mean_tail_status_agent_share,std_tail_status_agent_share,ci95_tail_status_agent_share,mean_final_norm_welfare_check,std_final_norm_welfare_check,ci95_final_norm_welfare_check,mean_best_norm_welfare,std_best_norm_welfare,ci95_best_norm_welfare,mean_welfare_gap_to_best,std_welfare_gap_to_best,ci95_welfare_gap_to_best,mean_is_final_norm_optimal,std_is_final_norm_optimal,ci95_is_final_norm_optimal,mean_tail_top_follower_share,std_tail_top_follower_share,ci95_tail_top_follower_share,mean_consensus_step_first,std_consensus_step_first,ci95_consensus_step_first,mean_consensus_step_final,std_consensus_step_final,ci95_consensus_step_final,mean_num_consensus,std_num_consensus,ci95_num_consensus
static,4.5,0.0,3,0.3333333333333333,1,14.0,13.45362404707371,15.224208791701896,6000.0,0.0,0.0,0.3333333333333333,0.5773502691896258,0.6533333333333334,10.325501204481446,0.11691460396496485,0.13230132901988706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0366122384558,0.4129913260910846,0.46734368045166963,11.15824297076282,0.2305931576274131,0.2609407223937666,0.12163073230701944,0.21067060811756697,0.2383962353217581,0.6666666666666666,0.5773502691896258,0.6533333333333334,0.4827586206896552,0.4639180705887486,0.5249727169552378,3000.0,0.0,0.0,3001.0,0.0,0.0,1.0,0.0,0.0
static,4.5,0.01,3,0.3333333333333333,1,14.0,13.45362404707371,15.224208791701896,6000.0,0.0,0.0,0.3333333333333333,0.5773502691896258,0.6533333333333334,10.325501204481446,0.11691460396496485,0.13230132901988706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0366122384558,0.4129913260910846,0.46734368045166963,11.15824297076282,0.2305931576274131,0.2609407223937666,0.12163073230701944,0.21067060811756697,0.2383962353217581,0.6666666666666666,0.5773502691896258,0.6533333333333334,0.4827586206896552,0.4639180705887486,0.5249727169552378,3000.0,0.0,0.0,3001.0,0.0,0.0,1.0,0.0,0.0
static,4.5,0.02,3,0.3333333333333333,1,14.0,13.45362404707371,15.224208791701896,6000.0,0.0,0.0,0.3333333333333333,0.5773502691896258,0.6533333333333334,10.325501204481446,0.11691460396496485,0.13230132901988706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0366122384558,0.4129913260910846,0.46734368045166963,11.15824297076282,0.2305931576274131,0.2609407223937666,0.12163073230701944,0.21067060811756697,0.2383962353217581,0.6666666666666666,0.5773502691896258,0.6533333333333334,0.4827586206896552,0.4639180705887486,0.5249727169552378,3000.0,0.0,0.0,3001.0,0.0,0.0,1.0,0.0,0.0
static,4.5,0.05,3,0.3333333333333333,1,14.0,13.45362404707371,15.224208791701896,6000.0,0.0,0.0,0.3333333333333333,0.5773502691896258,0.6533333333333334,10.292950439100402,0.06314735077190867,0.07145795433487546,0.3333333333333333,0.5773502691896258,0.6533333333333334,0.3333333333333333,0.5773502691896258,0.6533333333333334,0.3333333333333333,0.5773502691896258,0.6533333333333334,0.011111111111111112,0.019245008972987525,0.021777777777777778,10.920431248434982,0.2841888205931913,0.32158992445751605,11.15824297076282,0.2305931576274131,0.2609407223937666,0.2378117223278385,0.20611316251544495,0.23323900012916177,0.3333333333333333,0.5773502691896258,0.6533333333333334,0.4827586206896552,0.4639180705887486,0.5249727169552378,3000.0,0.0,0.0,3001.0,0.0,0.0,1.0,0.0,0.0
static,4.5,0.1,3,0.3333333333333333,1,14.0,13.45362404707371,15.224208791701896,6000.0,0.0,0.0,0.3333333333333333,0.5773502691896258,0.6533333333333334,10.413227011696192,0.2325509926568487,0.2631562212930627,0.6666666666666666,0.5773502691896258,0.6533333333333334,0.6666666666666666,0.5773502691896258,0.6533333333333334,0.6666666666666666,0.5773502691896258,0.6533333333333334,0.022222222222222223,0.019245008972987525,0.021777777777777778,10.982199700706166,0.5018102395473475,0.5678517426941525,11.15824297076282,0.2305931576274131,0.2609407223937666,0.17604327005665313,0.304915888068692,0.34504480931104015,0.6666666666666666,0.5773502691896258,0.6533333333333334,0.4827586206896552,0.4639180705887486,0.5249727169552378,3000.0,0.0,0.0,3001.0,0.0,0.0,1.0,0.0,0.0
static,5.0,0.0,3,0.3333333333333333,1,15.666666666666666,11.718930554164631,13.261218311720501,3000.0,0.0,0.0,0.3333333333333333,0.5773502691896258,0.6533333333333334,10.28634609659568,0.1515955182735964,0.1715464780350754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.759378187597028,0.5859351809215131,0.663048075488107,11.170788626086429,0.22734116520445286,0.25726074654020115,0.41141043848940306,0.43653245682084446,0.49398297765282556,0.3333333333333333,0.5773502691896258,0.6533333333333334,0.5402298850574713,0.4041010535918838,0.4572833900593276,3000.0,0.0,0.0,3001.0,0.0,0.0,1.0,0.0,0.0
static,5.0,0.01,3,0.3333333333333333,1,15.666666666666666,11.718930554164631,13.261218311720501,3000.0,0.0,0.0,0.3333333333333333,0.5773502691896258,0.6533333333333334,10.28634609659568,0.1515955182735964,0.1715464780350754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.759378187597028,0.5859351809215131,0.663048075488107,11.170788626086429,0.22734116520445286,0.25726074654020115,0.41141043848940306,0.43653245682084446,0.49398297765282556,0.3333333333333333,0.5773502691896258,0.6533333333333334,0.5402298850574713,0.4041010535918838,0.4572833900593276,3000.0,0.0,0.0,3001.0,0.0,0.0,1.0,0.0,0.0
static,5.0,0.02,3,0.3333333333333333,1,15.666666666666666,11.718930554164631,13.261218311720501,3000.0,0.0,0.0,0.3333333333333333,0.5773502691896258,0.6533333333333334,10.28634609659568,0.1515955182735964,0.1715464780350754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.759378187597028,0.5859351809215131,0.663048075488107,11.170788626086429,0.22734116520445286,0.25726074654020115,0.41141043848940306,0.43653245682084446,0.49398297765282556,0.3333333333333333,0.5773502691896258,0.6533333333333334,0.5402298850574713,0.4041010535918838,0.4572833900593276,3000.0,0.0,0.0,3001.0,0.0,0.0,1.0,0.0,0.0
static,5.0,0.05,3,0.3333333333333333,1,15.666666666666666,11.718930554164631,13.261218311720501,3000.0,0.0,0.0,0.3333333333333333,0.5773502691896258,0.6533333333333334,10.361165839233559,0.2795058996220066,0.31629070051823394,0.3333333333333333,0.5773502691896258,0.6533333333333334,0.3333333333333333,0.5773502691896258,0.6533333333333334,0.3333333333333333,0.5773502691896258,0.6533333333333334,0.011111111111111112,0.019245008972987525,0.021777777777777778,10.759378187597028,0.5859351809215131,0.663048075488107,11.170788626086429,0.22734116520445286,0.25726074654020115,0.41141043848940306,0.43653245682084446,0.49398297765282556,0.3333333333333333,0.5773502691896258,0.6533333333333334,0.5402298850574713,0.4041010535918838,0.4572833900593276,3000.0,0.0,0.0,3001.0,0.0,0.0,1.0,0.0,0.0
static,5.0,0.1,3,0.3333333333333333,1,15.666666666666666,11.718930554164631,13.261218311720501,3000.0,0.0,0.0,0.3333333333333333,0.5773502691896258,0.6533333333333334,10.37523678709442,0.2708256069105407,0.3064680246243591,0.6666666666666666,0.5773502691896258,0.6533333333333334,0.6666666666666666,0.5773502691896258,0.6533333333333334,0.6666666666666666,0.5773502691896258,0.6533333333333334,0.022222222222222223,0.019245008972987525,0.021777777777777778,10.704965649847393,0.6158869153960889,0.6969416537328283,11.170788626086429,0.22734116520445286,0.25726074654020115,0.46582297623903673,0.4380059724763533,0.49565041758713735,0.3333333333333333,0.5773502691896258,0.6533333333333334,0.5402298850574713,0.4041010535918838,0.4572833900593276,3000.0,0.0,0.0,3001.0,0.0,0.0,1.0,0.0,0.0
